Dataset_Source,Age,Gender,Marital_Status,Course,Mother_Qualification,Father_Qualification,Previous_Qualification,Displaced,Debtor,Tuition_Fees_Up_To_Date,Scholarship_Holder,Unemployment_Rate,Inflation_Rate,GDP,Target,Admission_Grade
Higher Education Predictors,20,1,1.0,2.0,13,10,1.0,1,0.0,1,0.0,10.8,1.4,1.74,Dropout,
Higher Education Predictors,19,1,1.0,11.0,1,3,1.0,1,0.0,0,0.0,13.9,-0.3,0.79,Graduate,
Higher Education Predictors,19,1,1.0,5.0,22,27,1.0,1,0.0,0,0.0,10.8,1.4,1.74,Dropout,
Higher Education Predictors,20,0,1.0,15.0,23,27,1.0,1,0.0,1,0.0,9.4,-0.8,-3.12,Graduate,
Higher Education Predictors,45,0,2.0,3.0,22,28,1.0,0,0.0,1,0.0,13.9,-0.3,0.79,Graduate,
Higher Education Predictors,50,1,2.0,17.0,22,27,12.0,0,1.0,1,0.0,16.2,0.3,-0.92,Graduate,
Higher Education Predictors,18,0,1.0,12.0,13,28,1.0,1,0.0,1,1.0,15.5,2.8,-4.06,Graduate,
Higher Education Predictors,22,1,1.0,11.0,22,27,1.0,1,0.0,0,0.0,15.5,2.8,-4.06,Dropout,
Higher Education Predictors,21,0,1.0,10.0,1,1,1.0,0,0.0,1,1.0,16.2,0.3,-0.92,Graduate,
Higher Education Predictors,18,0,1.0,10.0,1,14,1.0,1,1.0,0,0.0,8.9,1.4,3.51,Dropout,
Higher Education Predictors,18,0,1.0,14.0,23,14,1.0,1,0.0,1,0.0,13.9,-0.3,0.79,Graduate,
Higher Education Predictors,18,0,1.0,12.0,13,28,1.0,1,0.0,1,1.0,12.7,3.7,-1.7,Graduate,
Higher Education Predictors,19,0,1.0,16.0,13,27,1.0,1,0.0,1,0.0,12.7,3.7,-1.7,Dropout,
Higher Education Predictors,21,0,1.0,11.0,1,1,16.0,1,0.0,1,1.0,8.9,1.4,3.51,Graduate,
Higher Education Predictors,18,0,1.0,6.0,23,27,1.0,1,0.0,1,1.0,10.8,1.4,1.74,Graduate,
Higher Education Predictors,20,0,1.0,15.0,13,27,1.0,1,0.0,1,0.0,15.5,2.8,-4.06,Dropout,
Higher Education Predictors,18,0,1.0,10.0,13,28,1.0,1,0.0,1,0.0,10.8,1.4,1.74,Enrolled,
Higher Education Predictors,18,0,1.0,12.0,13,1,1.0,1,0.0,1,0.0,15.5,2.8,-4.06,Graduate,
Higher Education Predictors,20,0,1.0,8.0,3,14,1.0,1,0.0,1,0.0,10.8,1.4,1.74,Graduate,
Higher Education Predictors,18,0,1.0,16.0,13,14,1.0,1,0.0,1,0.0,16.2,0.3,-0.92,Enrolled,
Higher Education Predictors,21,0,1.0,2.0,1,1,1.0,0,0.0,1,1.0,11.1,0.6,2.02,Graduate,
Higher Education Predictors,20,0,1.0,13.0,1,28,1.0,1,0.0,1,0.0,12.7,3.7,-1.7,Enrolled,
Higher Education Predictors,18,0,1.0,12.0,13,14,1.0,1,0.0,1,0.0,12.7,3.7,-1.7,Graduate,
Higher Education Predictors,19,0,1.0,14.0,1,28,1.0,1,0.0,1,1.0,11.1,0.6,2.02,Graduate,
Higher Education Predictors,19,0,1.0,12.0,13,14,1.0,0,0.0,1,0.0,11.1,0.6,2.02,Graduate,
Higher Education Predictors,18,0,1.0,10.0,13,28,1.0,1,1.0,1,1.0,7.6,2.6,0.32,Enrolled,
Higher Education Predictors,21,0,1.0,10.0,13,28,1.0,1,0.0,1,0.0,16.2,0.3,-0.92,Graduate,
Higher Education Predictors,18,0,1.0,6.0,13,14,1.0,1,0.0,1,0.0,9.4,-0.8,-3.12,Enrolled,
Higher Education Predictors,20,0,1.0,9.0,13,1,1.0,1,0.0,1,0.0,16.2,0.3,-0.92,Graduate,
Higher Education Predictors,19,1,1.0,12.0,3,3,1.0,1,0.0,1,0.0,16.2,0.3,-0.92,Enrolled,
Higher Education Predictors,21,1,1.0,4.0,4,5,14.0,0,0.0,1,0.0,16.2,0.3,-0.92,Enrolled,
Higher Education Predictors,20,1,1.0,5.0,27,3,1.0,1,0.0,1,0.0,8.9,1.4,3.51,Graduate,
Higher Education Predictors,18,1,1.0,9.0,1,1,1.0,0,0.0,0,0.0,8.9,1.4,3.51,Enrolled,
Higher Education Predictors,19,0,1.0,3.0,13,1,1.0,1,0.0,1,0.0,12.4,0.5,1.79,Graduate,
Higher Education Predictors,34,1,1.0,17.0,2,27,1.0,0,0.0,1,0.0,13.9,-0.3,0.79,Graduate,
Higher Education Predictors,37,1,1.0,1.0,23,27,1.0,0,1.0,0,0.0,8.9,1.4,3.51,Dropout,
Higher Education Predictors,43,1,1.0,7.0,19,27,8.0,1,0.0,1,0.0,7.6,2.6,0.32,Dropout,
Higher Education Predictors,55,0,1.0,9.0,22,27,1.0,0,0.0,1,0.0,16.2,0.3,-0.92,Dropout,
Higher Education Predictors,39,0,4.0,17.0,13,14,1.0,1,0.0,1,0.0,7.6,2.6,0.32,Graduate,
Higher Education Predictors,20,0,1.0,8.0,4,4,14.0,0,1.0,0,0.0,12.4,0.5,1.79,Dropout,
Higher Education Predictors,18,0,1.0,15.0,3,3,1.0,0,1.0,1,0.0,12.7,3.7,-1.7,Dropout,
Higher Education Predictors,22,0,1.0,9.0,3,14,1.0,1,0.0,1,0.0,8.9,1.4,3.51,Graduate,
